seed;score;water scale;water coverage;elevation type
2298843956;0.651296;0.333333;1;1.1
3341889739;0.642784;1.33333;1;island
3341889739;0.636535;0.5;0.25;1.1
805828029;0.625963;0.166667;0.25;2.0
1332091291;0.622136;0.75;0.5;island
2136900269;0.610542;0.333333;0.166667;1.1
1332091291;0.609636;0.75;0.75;island
3341889739;0.598142;1.5;1;1.1
3341889739;0.598142;1.5;1;island
1363912325;0.593756;0.166667;0.333333;2.0
1332091291;0.591799;0.75;1;island
2136900269;0.591602;0.333333;0.25;1.1
3341889739;0.586535;4;6;island
3341889739;0.586535;1.5;0.75;island
3341889739;0.586535;3;0.166667;1.1
3341889739;0.586535;2;0.75;1.1
3341889739;0.586535;4;0.333333;1.1
3341889739;0.586535;2;6;island
3341889739;0.586535;1;0.333333;1.1
3341889739;0.586535;2;1.33333;island
3341889739;0.586535;4;3;island
3341889739;0.586535;4;0.25;1.1
3341889739;0.586535;1.5;0.75;1.1
3341889739;0.586535;6;0.25;island
3341889739;0.586535;6;6;1.1
3341889739;0.586535;2;0.25;1.1
3341889739;0.586535;6;1.5;1.1
3341889739;0.586535;1.5;0.25;island
3341889739;0.586535;6;4;1.1
3341889739;0.586535;4;1.5;island
3341889739;0.586535;1.5;0.333333;island
3341889739;0.586535;6;6;island
3341889739;0.586535;4;0.25;island
3341889739;0.586535;3;0.5;1.1
3341889739;0.586535;1;0.5;1.1
3341889739;0.586535;1.33333;0.25;island
3341889739;0.586535;3;3;island
3341889739;0.586535;6;0.5;1.1
3341889739;0.586535;1.5;0.166667;island
3341889739;0.586535;4;1;1.1
3341889739;0.586535;4;1.33333;island
3341889739;0.586535;6;1;1.1
3341889739;0.586535;2;0.333333;1.1
3341889739;0.586535;3;4;island
3341889739;0.586535;1.33333;0.5;1.1
3341889739;0.586535;3;2;island
3341889739;0.586535;1.33333;0.166667;island
3341889739;0.586535;3;0.333333;1.1
3341889739;0.586535;2;1.5;island
3341889739;0.586535;4;0.75;island
3341889739;0.586535;6;3;1.1
3341889739;0.586535;2;1;island
3341889739;0.586535;4;0.5;island
3341889739;0.586535;6;0.166667;island
3341889739;0.586535;1.33333;0.333333;island
3341889739;0.586535;0.75;0.166667;1.1
3341889739;0.586535;6;0.5;island
3341889739;0.586535;6;0.166667;1.1
3341889739;0.586535;3;0.75;island
3341889739;0.586535;6;0.25;1.1
3341889739;0.586535;3;0.25;1.1
3341889739;0.586535;6;1.33333;island
3341889739;0.586535;3;1;1.1
3341889739;0.586535;2;0.25;island
3341889739;0.586535;2;2;island
3341889739;0.586535;4;0.75;1.1
3341889739;0.586535;4;0.333333;island
3341889739;0.586535;2;3;island
3341889739;0.586535;3;1;island
3341889739;0.586535;4;0.166667;island
3341889739;0.586535;2;0.333333;island
3341889739;0.586535;6;0.333333;1.1
3341889739;0.586535;6;3;island
3341889739;0.586535;3;6;island
3341889739;0.586535;6;0.333333;island
3341889739;0.586535;1.5;0.166667;1.1
3341889739;0.586535;2;4;island
3341889739;0.586535;1.33333;0.166667;1.1
3341889739;0.586535;0.75;0.333333;1.1
3341889739;0.586535;1.5;0.5;island
3341889739;0.586535;4;0.5;1.1
3341889739;0.586535;1.5;0.333333;1.1
3341889739;0.586535;4;1;island
3341889739;0.586535;1;0.166667;1.1
3341889739;0.586535;1.5;0.25;1.1
3341889739;0.586535;3;1.33333;island
3341889739;0.586535;3;0.166667;island
3341889739;0.586535;1;0.25;1.1
3341889739;0.586535;4;4;island
3341889739;0.586535;1.5;0.5;1.1
3341889739;0.586535;3;0.75;1.1
3341889739;0.586535;4;0.166667;1.1
3341889739;0.586535;1.33333;0.5;island
3341889739;0.586535;3;1.5;island
3341889739;0.586535;6;2;island
3341889739;0.586535;6;0.75;1.1
3341889739;0.586535;4;2;island
3341889739;0.586535;6;1.5;island
3341889739;0.586535;2;0.5;1.1
3341889739;0.586535;3;0.25;island
3341889739;0.586535;2;0.166667;1.1
3341889739;0.586535;2;0.166667;island
3341889739;0.586535;6;1.33333;1.1
3341889739;0.586535;3;0.333333;island
3341889739;0.586535;1.33333;0.25;1.1
3341889739;0.586535;6;4;island
3341889739;0.586535;1.33333;0.333333;1.1
3341889739;0.586535;6;2;1.1
3341889739;0.586535;2;1;1.1
3341889739;0.586535;3;0.5;island
3341889739;0.586535;2;0.5;island
3341889739;0.586535;0.75;0.25;1.1
3341889739;0.586535;2;0.75;island
3341889739;0.586535;6;1;island
3341889739;0.586535;6;0.75;island
1942753685;0.586204;0.333333;0.25;2.0
1942753685;0.586204;0.333333;0.333333;2.0
1942753685;0.586204;0.25;0.166667;2.0
3426214762;0.585674;0.5;0.5;2.0
3341889739;0.583697;1.33333;1;2.0
1723895010;0.58128;0.5;0.5;1.1
3341889739;0.577447;1;0.75;2.0
3341889739;0.577447;0.5;0.25;2.0
4159657384;0.569351;0.166667;0.166667;2.0
3341889739;0.567784;1.33333;0.75;island
3341889739;0.567784;0.5;0.166667;1.1
704387551;0.562527;1;6;island
704387551;0.562527;1;2;island
704387551;0.562527;1;1.5;island
704387551;0.562527;1;3;island
704387551;0.562527;1;1.33333;island
704387551;0.562527;1;4;island
704387551;0.562527;1;1;island
3583568571;0.561994;0.25;0.333333;2.0
1384882039;0.560888;0.333333;2;island
1384882039;0.560888;0.333333;1.5;island
1384882039;0.560888;0.333333;1.33333;island
1723895010;0.55807;0.5;0.333333;1.1
704387551;0.557318;1;4;2.0
704387551;0.557318;1;3;2.0
704387551;0.557318;1;1;2.0
704387551;0.557318;1;1.5;2.0
704387551;0.557318;1;1.33333;2.0
704387551;0.557318;1;6;2.0
704387551;0.557318;1;2;2.0
3055659389;0.555739;0.166667;0.166667;1.1
1735896699;0.55395;1.33333;0.333333;1.1
1384882039;0.551439;0.333333;4;island
1164388581;0.550883;0.25;0.166667;2.0
