seed;score;water scale;water coverage;elevation type
1946587;0.815261;0.25;0.5;2.0
4242289935;0.807556;0.25;0.5;2.0
3991852583;0.797827;0.333333;0.25;1.1
3716003139;0.796535;0.5;0.75;1.1
2363178892;0.790733;0.166667;0.333333;2.0
3991852583;0.789389;0.333333;0.333333;1.1
2717747422;0.789382;0.5;4;island
2717747422;0.789382;0.5;3;island
2717747422;0.789382;0.5;1.5;island
2717747422;0.789382;0.5;2;island
2717747422;0.789382;0.5;1;island
2717747422;0.789382;0.5;1.33333;island
2717747422;0.789382;0.5;6;island
3991852583;0.786285;0.333333;0.75;1.1
1026637638;0.783653;0.166667;0.5;2.0
3716003139;0.782952;0.5;1;1.1
1964885860;0.781362;0.75;6;island
1789162505;0.781056;0.5;0.75;1.1
3426294196;0.778636;0.5;0.25;1.1
2218763248;0.767995;0.166667;0.166667;1.1
131911581;0.765042;0.5;0.166667;1.1
3585587548;0.760723;0.166667;0.333333;2.0
3506080269;0.759139;0.333333;0.75;2.0
742214511;0.757466;0.5;0.333333;2.0
742214511;0.754466;0.5;0.5;2.0
4014577855;0.752264;3;3;1.1
3716003138;0.75215;0.5;1;1.1
2194301141;0.750868;0.5;0.25;1.1
3426294196;0.749981;0.5;0.333333;1.1
3716003138;0.748986;0.5;0.75;1.1
1573056652;0.748255;0.75;0.75;1.1
1565488144;0.746738;0.333333;0.5;1.1
208830977;0.745951;0.25;0.333333;2.0
2759550206;0.74325;0.75;0.5;1.1
272437834;0.74277;0.25;0.75;1.1
1104924956;0.741483;0.25;0.5;2.0
577318611;0.740679;0.25;0.166667;1.1
708618254;0.739657;0.25;0.166667;1.1
272437834;0.739025;0.333333;1.33333;1.1
1772753182;0.738918;0.75;3;1.1
1849999530;0.738313;0.333333;0.5;1.1
1149219449;0.738164;0.166667;0.166667;1.1
1964885860;0.73798;0.75;4;island
3961342484;0.737432;0.75;6;island
3991852582;0.737306;0.333333;0.5;1.1
2133978611;0.737115;0.75;0.166667;1.1
495762223;0.737016;1;0.5;1.1
2667069546;0.736994;0.75;0.25;1.1
2722391453;0.736755;0.25;0.166667;1.1
1149219448;0.736747;0.166667;0.166667;1.1
3217441706;0.736436;0.166667;0.333333;2.0
2926409366;0.73641;0.5;6;2.0
272437834;0.735149;0.333333;0.75;1.1
2667069546;0.734928;0.75;0.333333;1.1
1339431177;0.734859;1;0.5;1.1
2420538019;0.733441;0.5;1.33333;1.1
2420538019;0.733441;0.5;1;1.1
2420538019;0.733441;0.5;1.5;1.1
470197542;0.733008;0.166667;0.333333;2.0
708618254;0.732632;0.25;0.333333;1.1
2178012804;0.731487;0.75;2;1.1
2178012804;0.731487;0.75;3;1.1
2178012804;0.731487;0.75;1.5;1.1
